univ_name,alias,address,sinta_id,pddikti_code,author_number,dept_number,journal_number,sinta_score_overall,sinta_score_3yr,sinta_score_productivity,sinta_score_productivity_3yr,scopus_docs,scopus_citation,scopus_cited_doc,scopus_citation_per_researchers,gscholar_docs,gscholar_citation,gscholar_cited_doc,gscholar_citation_per_researchers,wos_docs,wos_citation,wos_cited_doc,wos_citation_per_researchers,garuda_docs,garuda_citation,garuda_cited_doc,garuda_citation_per_researchers
Universitas Andalas,UNAND,"KOTA PADANG - SUMATERA BARAT, ID",394,001006,1.486,137,38,880.633,419.035,606,288,4.867,26.289,3.101,"15,31",44.233,164.289,17.572,"95,68",86,382,34,"0,22",10.356,286,181,"0,17"
Politeknik Perkapalan Negeri Surabaya,PPNS,"KOTA SURABAYA - JAWA TIMUR, ID",550,005014,168,19,0,21.700,7.914,137,50,337,1.501,221,"7,90",3.287,6.606,1.254,"34,77",7,70,5,"0,37",262,2,2,"0,01"
Universitas Mercu Buana Yogyakarta,-,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1881,051019,143,16,6,23.933,6.833,140,40,82,252,50,"1,22",3.870,13.044,1.433,"63,01",11,19,7,"0,09",414,0,0,0
Universitas Muhammadiyah Purworejo,UMPWR,"KAB. PURWOREJO - JAWA TENGAH, ID",51,061025,132,16,8,28.433,7.333,237,61,92,141,46,"1,05",7.183,27.430,2.617,"204,70",0,0,0,0,954,9,3,"0,07"
Politeknik Kesehatan Kementerian Kesehatan Surabaya,POLTEKKES KEMENKES SURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",4427,405016,262,22,5,16.872,8.562,75,38,271,535,120,"2,07",5.000,8.355,1.302,"32,26",6,2,2,"0,01",342,0,0,0
Universitas Muhammadiyah Sumatera Barat,UM SUMATERA BARAT,"KOTA PADANG - SUMATERA BARAT, ID",2890,101002,193,28,6,18.746,9.195,111,54,116,857,70,"4,14",2.365,6.773,839,"32,72",13,29,3,"0,14",424,0,0,0
STIKES Panti Waluya Malang,-,"KOTA MALANG - JAWA TIMUR, ID",2319,073178,31,5,1,10.042,6.632,456,301,0,0,0,0,2.161,29.741,815,"959,39",0,0,0,0,110,0,0,0
Universitas Methodist Indonesia,UMI MEDAN,"KOTA MEDAN - SUMATERA UTARA, ID",584,011006,176,14,1,21.052,8.983,141,60,154,429,88,"2,28",2.131,7.884,828,"41,94",6,0,0,0,568,2,1,"0,01"
Institut Teknologi Bandung,ITB,"KOTA BANDUNG - JAWA BARAT, ID",379,002001,1.611,134,17,1.551.814,458.477,1.068,316,21.298,180.992,14.768,"117,83",87.068,627.962,43.735,"408,83",311,2.638,174,"1,72",2.678,447,138,"0,29"
Universitas Nurul Huda,UNUHA,"KAB. OGAN KOMERING ULU TIMUR - SUMATERA SELATAN, ID",946,021038,64,10,5,8.704,6.474,140,104,27,241,17,"3,65",595,1.796,227,"27,21",1,0,0,0,195,3,3,"0,05"
Sekolah Tinggi Ilmu Kesehatan Stella Maris Makassar,STIK SM,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2717,093157,25,3,0,12.713,8.159,410,263,7,7,3,"0,21",188,437,73,"12,85",0,0,0,0,86,0,0,0
Universitas Islam As-syafiiyah,UIA,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1069,031021,182,22,6,12.473,8.093,74,48,32,107,18,"0,43",1.942,12.041,837,"48,75",0,0,0,0,383,1,1,"0,00"
Universitas Muhammadiyah Lamongan,UMLA,"KAB. LAMONGAN - JAWA TIMUR, ID",2234,071096,109,16,0,9.504,7.580,75,60,48,156,27,"0,91",1.168,3.105,484,"18,16",0,0,0,0,168,0,0,0
Universitas Pelita Bangsa,UPB,"KAB. BEKASI - JAWA BARAT, ID",626,041072,218,16,1,12.349,8.983,36,26,39,85,24,"0,24",2.133,40.750,828,"114,47",0,0,0,0,549,1,1,"0,00"
Politeknik Kesehatan Kementerian Kesehatan Makassar,POLTEKKES KEMENKES MAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",4438,405027,238,20,7,12.864,7.110,64,35,126,165,55,"0,75",2.624,5.511,855,"25,16",1,0,0,0,444,6,5,"0,03"
Akademi Analis Kesehatan Provinsi Jambi,-,"- - JAMBI, ID",4351,344022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kesehatan Dinas Kesehatan Provinsi Riau,-,"- - ACEH, ID",4350,344021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Tangerang,-,"- - -, ID",4606,043068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Dinamika,UNDIKA,"KOTA SURABAYA - JAWA TIMUR, ID",2130,071099,79,8,0,31.669,10.498,382,126,85,236,60,"1,56",4.796,10.597,1.423,"70,18",0,0,0,0,2.390,1,1,"0,01"
Universitas Budi Luhur,UBL,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1090,031045,312,19,2,35.866,11.057,93,29,619,2.395,397,"5,74",5.925,21.096,2.185,"50,59",55,108,31,"0,26",520,6,5,"0,01"
Institut Teknologi dan Bisnis Widya Gama Lumajang,ITB WIGA LUMAJANG,"KAB. LUMAJANG - JAWA TIMUR, ID",2185,072034,61,3,4,20.742,10.611,296,152,27,44,15,"0,56",1.375,5.313,629,"68,12",1,3,1,"0,04",340,1,1,"0,01"
Universitas Darussalam Gontor,UNIDA GONTOR,"KAB. PONOROGO - JAWA TIMUR, ID",2114,071085,243,22,22,22.036,10.580,98,47,93,164,46,"0,57",3.909,11.233,1.579,"39,28",1,2,1,"0,01",429,7,5,"0,02"
Universitas Merdeka Madiun,UNMER MADIUN,"KOTA MADIUN - JAWA TIMUR, ID",2070,071042,90,9,2,31.365,10.543,418,141,142,437,95,"4,80",1.813,4.469,754,"49,11",0,0,0,0,264,0,0,0
Universitas Tidar,UNTIDAR,"KOTA MAGELANG - JAWA TENGAH, ID",10,001056,291,21,13,26.522,10.884,82,33,326,2.676,206,"6,17",6.342,30.349,2.600,"69,93",24,6,3,"0,01",444,0,0,0
Universitas Pembangunan Panca Budi,UNPAB,"KOTA MEDAN - SUMATERA UTARA, ID",582,011004,360,22,0,31.873,10.711,83,28,356,1.610,225,"3,83",6.495,43.720,2.420,"104,10",1,1,1,"0,00",580,19,13,"0,05"
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,-,"KOTA JAMBI - JAMBI, ID",4500,201016,549,48,7,18.618,10.954,31,18,198,579,111,"0,93",10.945,27.618,2.614,"44,33",8,5,3,"0,01",260,2,2,"0,00"
Universitas Kristen Artha Wacana,UKAW,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",2383,151003,149,28,1,14.477,7.114,97,47,71,207,38,"1,02",1.483,3.846,544,"19,04",4,4,2,"0,02",335,13,6,"0,06"
Universitas Muhammadiyah Pontianak,UM PONTIANAK,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3143,111013,132,16,15,28.306,10.681,202,76,41,52,20,"0,28",3.444,9.755,1.408,"53,31",0,0,0,0,468,2,2,"0,01"
Akademi Kebidanan Ngudia Husada Madura,-,"- - -, ID",2302,074070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disable -- Akademi Kebidanan Yapma Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2814,094077,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Advent Indonesia,UNAI,"KAB. BANDUNG BARAT - JAWA BARAT, ID",1401,041011,89,16,4,16.814,10.961,198,129,76,488,48,"5,74",2.321,8.407,967,"98,91",0,0,0,0,435,4,2,"0,05"
Universitas Darul  ulum,UNDAR,"KAB. JOMBANG - JAWA TIMUR, ID",2052,071023,129,19,0,15.379,11.020,110,79,51,236,36,"1,31",1.535,11.805,596,"65,58",2,0,0,0,323,0,0,0
Akademi Sekretaris ISWI Jakarta,-,"- - -, ID",1278,034089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Graha Nusantara Padangsidimpuan,UGNP,"KOTA PADANGSIDIMPUAN - SUMATERA UTARA, ID",592,011015,152,17,0,14.367,9.587,96,64,32,126,21,"0,62",1.570,3.829,444,"18,96",0,0,0,0,187,0,0,0
Universitas Sampoerna,SU,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1102,031056,55,10,1,21.233,9.602,386,175,447,3.252,308,"53,31",1.242,8.784,703,"144,00",18,214,8,"3,51",74,3,2,"0,05"
Akademi Manajemen Informatika Dan Komputer Bogor,-,"KOTA BOGOR - JAWA BARAT, ID",1790,044184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Komunikasi dan Bisnis LSPR,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1183,032025,123,7,1,11.494,9.768,74,63,60,103,34,"0,57",1.068,6.826,353,"37,92",0,0,0,0,75,0,0,0
Institut Agama Islam Negeri Kudus,IAIN KUDUS,"KAB. KUDUS - JAWA TENGAH, ID",185,202041,232,32,30,20.125,9.768,74,36,73,166,41,"0,53",4.961,25.795,2.402,"81,89",16,1,1,"0,00",1.041,10,9,"0,03"
Universitas Pahlawan Tuanku Tambusai,-,"KAB. KAMPAR - RIAU, ID",3026,101029,149,25,12,18.179,9.754,108,58,67,106,36,"0,51",2.190,10.822,987,"52,03",4,2,2,"0,01",724,2,2,"0,01"
Universitas Dhyana Pura,UNDHIRA,"KAB. BADUNG - BALI, ID",2389,081029,134,16,2,23.028,9.768,167,71,94,209,44,"1,35",3.271,7.814,1.174,"50,41",7,10,4,"0,06",593,5,5,"0,03"
Institut Ilmu Kesehatan Pelamonia Kesdam XIV/ Hasanuddin,IIKES PELAMONIA,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2749,092012,74,8,0,13.931,9.979,221,158,24,47,13,"0,52",960,23.241,558,"255,40",0,0,0,0,79,0,0,0
Universitas Fajar,UNIFA,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2569,091045,129,16,0,18.018,9.513,138,73,122,606,84,"4,01",1.674,5.721,645,"37,89",3,1,1,"0,01",190,4,2,"0,03"
Universitas Islam Negeri Mataram,-,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",3529,201015,328,33,23,17.607,10.026,39,22,130,503,73,"1,00",5.091,32.317,2.169,"64,38",6,1,1,"0,00",500,4,4,"0,01"
Institut Pariwisata dan Bisnis Internasional,IPB INTERNASIONAL,"KOTA DENPASAR - BALI, ID",2450,082013,83,7,2,15.113,9.838,191,125,32,122,19,"1,37",1.105,3.701,452,"41,58",1,0,0,0,462,3,3,"0,03"
Universitas Aisyah Pringsewu,UAP,"KAB. PRINGSEWU - LAMPUNG, ID",955,021031,119,19,3,10.439,7.137,82,56,25,183,17,"1,26",1.366,3.491,498,"24,08",0,0,0,0,448,0,0,0
Universitas Buddhi Dharma,UBD,"KOTA TANGERANG - BANTEN, ID",1447,041060,151,13,2,11.967,7.180,83,50,27,102,15,"0,54",2.385,68.534,954,"362,61",1,5,1,"0,03",544,1,1,"0,01"
Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan,-,"KOTA MEDAN - SUMATERA UTARA, ID",766,014150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Negeri Cilacap,PNC,"KAB. CILACAP - JAWA TENGAH, ID",15,005042,73,8,3,12.565,7.186,180,103,60,235,47,"1,84",1.081,2.657,438,"20,76",1,0,0,0,351,18,12,"0,14"
Akademi Kimia Industri Santo Paulus Semarang,AKIN SANTO PAULUS SEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",254,064014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universitas Muhammadiyah Bangka Belitung,UNMUH BABEL,"KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",959,021036,73,7,3,10.456,7.146,152,104,29,47,16,"0,64",648,1.283,252,"17,58",0,0,0,0,97,13,3,"0,18"
Institut Agama Islam Negeri Metro,-,"KOTA METRO - LAMPUNG, ID",3556,202033,195,24,15,14.246,7.191,54,27,53,210,23,"0,78",3.440,19.340,1.348,"71,90",7,0,0,0,562,6,5,"0,02"
Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat,STIKEP PPNI JAWA BARAT,"KOTA BANDUNG - JAWA BARAT, ID",1673,043315,23,3,1,9.184,7.247,340,268,24,90,16,"2,09",442,710,144,"16,51",4,0,0,0,32,0,0,0
Universitas Sahid,-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1077,031030,113,12,4,20.175,11.137,185,102,124,810,82,"5,55",3.021,9.731,909,"66,65",4,8,1,"0,05",275,22,9,"0,15"
Universitas Hindu Indonesia,UNHI DENPASAR,"KOTA DENPASAR - BALI, ID",2372,081009,175,19,6,12.797,7.232,102,57,70,211,32,"0,89",2.588,6.594,956,"27,82",1,3,1,"0,01",366,2,2,"0,01"
Politeknik Keuangan Negara STAN,PKN STAN,"KOTA TANGERANG SELATAN - BANTEN, ID",4450,415001,67,13,4,9.600,7.303,61,47,73,98,32,"0,29",1.555,5.733,742,"16,91",1,0,0,0,438,0,0,0
Universitas Islam Madura,UIM,"KAB. PAMEKASAN - JAWA TIMUR, ID",2095,071068,111,16,4,20.789,11.205,189,102,82,283,42,"2,26",2.336,4.127,760,"33,02",3,6,2,"0,05",413,7,6,"0,06"
Universitas Internasional Semen Indonesia,UISI,"KAB. GRESIK - JAWA TIMUR, ID",2118,071089,74,10,0,19.513,11.156,247,141,152,492,100,"4,28",851,2.458,408,"21,37",1,1,1,"0,01",48,2,2,"0,02"
Universitas Islam Sumatera Utara,UISU,"KOTA MEDAN - SUMATERA UTARA, ID",578,011001,269,36,8,23.393,11.206,86,41,250,771,120,"2,15",3.381,11.477,1.188,"31,97",18,2,1,"0,01",343,0,0,0
Universitas Kristen Krida Wacana,UKRIDA,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",478,031010,168,15,1,27.691,11.224,119,48,466,1.883,271,"5,81",4.230,14.129,1.583,"43,61",13,16,5,"0,05",704,6,5,"0,02"
Sekolah Tinggi Ilmu Kesehatan Nasional,STIKESNAS,"KOTA SURAKARTA - JAWA TENGAH, ID",245,063099,48,5,0,20.352,11.100,433,236,9,98,7,"0,97",645,2.015,246,"19,95",16,59,8,"0,58",37,0,0,0
Universitas Muhammadiyah Mataram,UMMAT,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",2373,081010,265,34,25,23.880,11.106,78,36,181,606,94,"1,53",3.578,15.367,1.423,"38,81",2,0,0,0,539,6,4,"0,02"
Universitas Putra Bangsa,UPB,"KAB. KEBUMEN - JAWA TENGAH, ID",170,061060,67,8,2,15.113,8.406,219,122,34,94,21,"1,29",943,3.537,453,"48,45",1,0,0,0,313,2,2,"0,03"
Universitas 'Aisyiyah Bandung,UNISA BANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",1686,041087,59,8,2,16.885,11.342,286,192,31,61,13,"0,82",589,3.385,208,"45,74",3,2,1,"0,03",261,2,1,"0,03"
Universitas Islam Negeri Antasari Banjarmasin,UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",3527,201017,294,35,12,14.478,8.447,41,24,92,216,48,"0,60",4.444,61.369,1.429,"170,47",1,0,0,0,337,4,3,"0,01"
Universitas Bina Bangsa,UNIBA,"KOTA SERANG - BANTEN, ID",4515,041065,228,21,0,17.722,11.365,55,35,84,292,56,"0,76",2.403,13.314,971,"34,67",3,2,2,"0,01",832,7,7,"0,02"
Poltekkes Kemenkes Kupang,POLTEKKES KEMENKES KUPANG,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",4431,405020,204,15,2,14.214,8.514,75,45,58,113,24,"0,38",2.319,3.479,666,"11,75",2,0,0,0,580,2,2,"0,01"
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,UIN SAIZU PURWOKERTO,"KAB. BANYUMAS - JAWA TENGAH, ID",184,201020,234,30,13,18.769,8.449,71,32,69,111,30,"0,41",3.757,29.805,1.712,"110,80",1,3,1,"0,01",1.005,21,15,"0,08"
Politeknik Negeri Lhokseumawe,POLTEK LHOKSEUMAWE,"KOTA LHOKSEUMAWE - ACEH, ID",553,005016,286,30,6,35.244,8.477,117,28,448,2.702,279,"7,68",3.551,10.641,1.283,"30,23",1,1,1,"0,00",351,0,0,0
Sekolah Tinggi Ilmu Kesehatan Pemkab Jombang,STIKES PEMKAB JOMBAN,"KAB. JOMBANG - JAWA TIMUR, ID",2246,073144,34,6,3,11.780,8.170,346,240,6,14,2,"0,26",706,765,207,"14,17",0,0,0,0,4,0,0,0
Universitas Nusa Nipa,UNIPA,"KAB. SIKKA - NUSA TENGGARA TIMUR, ID",2385,151008,160,39,0,11.472,8.993,55,43,24,38,14,"0,17",1.299,2.803,418,"12,68",0,0,0,0,358,2,2,"0,01"
Universitas Sulawesi Barat,UNSULBAR,"KAB. MAJENE - SULAWESI BARAT, ID",517,001054,386,27,7,20.394,8.530,40,17,224,633,134,"1,09",3.229,13.036,1.211,"22,48",3,8,2,"0,01",241,0,0,0
Institut Seni Indonesia Padang Panjang,-,"KOTA PADANG PANJANG - SUMATERA BARAT, ID",532,002009,237,22,1,19.237,8.521,71,32,8,2,2,"0,01",1.541,2.143,452,"7,12",1,0,0,0,272,1,1,"0,00"
Universitas Dr Soetomo,UNITOMO,"KOTA SURABAYA - JAWA TIMUR, ID",2037,071005,194,28,17,22.855,9.046,113,45,154,322,83,"1,30",4.107,14.752,1.335,"59,48",1,1,1,"0,00",129,0,0,0
Universitas Sari Mulia,UNISM,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",8360,111025,118,14,1,11.792,9.019,95,73,35,50,14,"0,37",1.468,2.324,475,"17,34",4,0,0,0,164,0,0,0
Universitas Harapan Bangsa,UNIVERSITAS HARAPAN BANGSA,"KAB. BANYUMAS - JAWA TENGAH, ID",370,061048,100,13,1,13.343,9.017,136,92,23,19,8,"0,17",1.602,2.189,450,"19,90",0,0,0,0,271,6,2,"0,05"
Universitas Baiturrahmah,-,"KOTA PADANG - SUMATERA BARAT, ID",2898,101009,198,12,2,15.822,9.014,102,58,70,358,47,"1,37",1.284,8.031,523,"30,65",1,0,0,0,430,3,3,"0,01"
Institut Teknologi Kesehatan dan Sains Wiyata Husada Samarinda,ITKESWHS,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",3216,114104,40,9,1,10.524,10.108,191,184,5,6,1,"0,07",263,382,87,"4,29",0,0,0,0,0,0,0,0
Institut Teknologi dan Kesehatan Muhammadiyah Kalimantan Barat,ITEKES MU KALBAR,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3205,112010,49,6,1,16.908,9.054,0,0,22,173,10,0,727,1.505,169,0,0,0,0,0,279,2,2,0
Sekolah Tinggi Ilmu Ekonomi Makassar Bongaya,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2599,093027,91,3,1,16.327,10.188,194,121,39,156,25,"1,33",938,4.088,408,"34,94",0,0,0,0,211,0,0,0
Universitas Sains Dan Teknologi Komputer,UNIVERSITAS STEKOM,"KOTA SEMARANG - JAWA TENGAH, ID",8244259,061058,139,16,6,16.201,10.139,100,63,40,84,27,"0,45",1.951,5.979,778,"31,97",1,0,0,0,694,9,6,"0,05"
Universitas Mohammad Husni Thamrin,UMHT,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1104,031059,137,22,5,16.348,10.249,99,62,64,356,46,"1,95",1.364,18.381,630,"100,44",2,2,2,"0,01",158,14,10,"0,08"
Universitas Muhammadiyah Pekajangan Pekalongan,-,"KAB. PEKALONGAN - JAWA TENGAH, ID",8424,061052,112,18,1,12.472,10.220,111,91,21,102,12,"0,67",1.369,1.997,472,"13,05",0,0,0,0,198,0,0,0
Universitas Quality,UQ,"KOTA MEDAN - SUMATERA UTARA, ID",605,011040,85,11,3,14.433,10.255,222,158,10,6,2,"0,07",1.000,1.802,267,"19,80",0,0,0,0,242,0,0,0
Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,UIN BUKITTINGGI,"KAB. AGAM - SUMATERA BARAT, ID",3544,201027,218,30,7,15.256,9.120,68,41,70,121,34,"0,53",3.272,10.440,1.205,"45,39",0,0,0,0,550,3,2,"0,01"
Institut Sains dan Bisnis Atma Luhur,ISB ATMA LUHUR,"KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",8244284,022002,52,4,1,14.832,10.397,265,186,40,59,19,"1,05",928,1.998,383,"35,68",2,0,0,0,331,1,1,"0,02"
Universitas 'Aisyiyah Surakarta,-,"KOTA SURAKARTA - JAWA TENGAH, ID",369,061057,73,11,2,13.945,9.137,191,125,5,4,2,"0,04",2.352,3.219,508,"29,00",0,0,0,0,377,0,0,0
Universitas Bina Bangsa Getsempena,UBBG,"KOTA BANDA ACEH - ACEH, ID",516,131013,93,14,7,21.532,10.295,213,102,51,120,26,"1,03",1.729,3.588,598,"30,67",4,3,1,"0,03",365,19,7,"0,16"
Universitas Duta Bangsa Surakarta,UDB,"KOTA SURAKARTA - JAWA TENGAH, ID",125,061047,119,16,1,9.115,6.501,62,44,35,85,21,"0,43",1.768,4.529,683,"22,65",0,0,0,0,114,1,1,"0,01"
Universitas Pasir Pengaraian,-,"KAB. ROKAN HULU - RIAU, ID",2908,101021,138,19,2,21.821,6.489,170,51,51,134,33,"0,78",3.106,8.089,1.273,"47,03",3,1,1,"0,01",573,4,4,"0,02"
Universitas Sembilanbelas November Kolaka,USN,"KAB. KOLAKA - SULAWESI TENGGARA, ID",518,001055,292,30,4,21.100,10.359,67,33,169,923,109,"2,35",2.403,8.076,935,"20,55",11,34,6,"0,09",425,10,7,"0,03"
Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,UIN KHAS JEMBER,"KAB. JEMBER - JAWA TIMUR, ID",3557,201023,235,39,1,11.035,6.519,28,16,90,235,47,"0,58",3.581,8.451,1.127,"20,76",1,0,0,0,210,1,1,"0,00"
Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,STIKES SANTO BORROME,"KAB. BANDUNG BARAT - JAWA BARAT, ID",1658,043301,27,5,0,8.067,6.521,183,148,3,4,1,"0,09",256,435,77,"9,26",0,0,0,0,64,0,0,0
Universitas Serambi Mekkah,USM,"KOTA BANDA ACEH - ACEH, ID",3357,131005,234,25,3,19.281,10.468,91,49,273,1.562,178,"6,54",3.695,11.980,1.400,"50,13",19,140,14,"0,59",385,13,5,"0,05"
Universitas Sang Bumi Ruwa Jurai,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",834,021003,110,8,4,10.970,6.524,115,69,22,54,10,"0,44",1.486,2.457,363,"20,14",0,0,0,0,578,0,0,0
Institut Agama Islam Negeri Lhokseumawe,IAIN LHOKSEUMAWE,"KOTA LHOKSEUMAWE - ACEH, ID",8109,202037,152,22,4,11.869,6.550,62,34,30,33,13,"0,17",1.532,4.097,577,"21,01",1,0,0,0,248,0,0,0
Universitas Islam Negeri Mahmud Yunus Batusangkar,UIN MAHMUD YUNUS BATUSANGKAR,"KAB. TANAH DATAR - SUMATERA BARAT, ID",3537,201026,205,35,7,11.339,6.626,50,29,76,389,43,"1,71",3.526,12.444,1.121,"54,58",1,1,1,"0,00",379,2,2,"0,01"
Badan Penyuluhan dan Pengembangan SDM Pertanian,BPPSDMP,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",8078,0,769,0,23,44.761,9.205,0,0,827,8.092,531,0,24.477,156.918,13.264,0,3,4,2,0,30,4,4,0
Sekolah Tinggi Ilmu Ekonomi PGRI Dewantara,STIE PGRI DEWANTARA JOMBANG,"KAB. JOMBANG - JAWA TIMUR, ID",2197,073080,31,2,4,9.943,6.522,382,251,12,113,9,"2,05",725,4.599,270,"83,62",0,0,0,0,0,0,0,0
Universitas Hayam Wuruk Perbanas,UHW PERBANAS,"KOTA SURABAYA - JAWA TIMUR, ID",2133,071105,107,9,3,23.812,9.208,227,88,126,421,76,"3,79",2.566,28.007,1.289,"252,32",6,28,3,"0,25",656,7,6,"0,06"
Sekolah Tinggi Ilmu Ekonomi Pariwisata Indonesia,STIEPARI SEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",42,063010,53,4,0,9.895,9.302,183,172,19,96,15,"1,55",693,6.952,287,"112,13",1,0,0,0,42,2,1,"0,03"
Universitas Indonesia Maju,UIM,"UNKNOWN - UNKNOWN, ID",8244514,031072,136,19,0,10.947,9.199,65,54,53,2.650,37,"14,64",906,5.664,349,"31,29",1,5,1,"0,03",132,2,2,"0,01"
Universitas Abdurachman Saleh Situbondo,-,"KAB. SITUBONDO - JAWA TIMUR, ID",2064,071104,94,10,5,12.109,9.213,135,102,13,23,8,"0,22",1.009,1.293,293,"12,20",2,2,2,"0,02",117,4,1,"0,04"
Universitas Kristen Indonesia Toraja,UKI TORAJA,"KAB. TANA TORAJA - SULAWESI SELATAN, ID",2546,091020,166,14,0,14.200,9.243,83,54,52,106,31,"0,53",1.452,6.583,459,"32,75",1,0,0,0,225,0,0,0
Universitas Pramita Indonesia,UNPRI,"KAB. TANGERANG - BANTEN, ID",1427,041039,54,10,0,7.476,6.506,93,81,103,1.280,91,"13,91",908,22.638,576,"246,07",3,10,3,"0,11",209,0,0,0
Universitas Bung Hatta,-,"KOTA PADANG - SUMATERA BARAT, ID",2889,101001,306,33,3,40.058,9.376,177,41,457,1.635,282,"5,60",18.412,136.557,4.162,"467,66",15,6,3,"0,02",106,1,1,"0,00"
Universitas Islam Negeri Imam Bonjol Padang,UIN IB PADANG,"KOTA PADANG - SUMATERA BARAT, ID",3521,201013,363,45,18,16.439,9.375,40,23,136,484,71,"0,82",4.947,22.214,1.949,"37,84",0,0,0,0,514,1,1,"0,00"
Politeknik Negeri Lampung,POLINELA,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",543,005007,255,42,3,143.014,7.609,488,26,5.251,2.562,331,"6,67",3.472,13.529,1.293,"35,23",27,168,23,"0,44",352,8,7,"0,02"
Institut Informatika Dan Bisnis Darmajaya,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",861,022001,136,13,2,25.468,7.589,177,53,151,313,68,"2,03",2.413,6.684,904,"43,40",1,0,0,0,437,0,0,0
Sekolah Tinggi Ilmu Ekonomi Mandala,STIE MANDALA JEMBER,"KAB. JEMBER - JAWA TIMUR, ID",2157,073030,43,5,2,13.912,7.711,357,198,12,54,9,"1,17",906,4.470,328,"97,17",1,1,1,"0,02",141,0,0,0
Universitas Sangga Buana,USB-YPKP,"KOTA BANDUNG - JAWA BARAT, ID",1432,041044,149,16,4,18.380,9.502,125,65,188,337,97,"1,98",1.886,5.750,628,"33,82",4,5,2,"0,03",335,11,3,"0,06"
Institut Transportasi  dan Logistik Trisakti,ITL TRISAKTI,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1135,032020,152,11,1,12.778,7.637,64,38,179,638,110,"2,39",2.000,8.608,801,"32,24",0,0,0,0,184,0,0,0
Universitas Riau Kepulauan,UNRIKA,"KOTA BATAM - KEPULAUAN RIAU, ID",2902,101014,143,16,11,22.221,7.655,140,48,66,149,35,"0,90",3.526,10.573,1.380,"64,08",4,7,2,"0,04",1.023,5,5,"0,03"
