univ_name,alias,address,sinta_id,pddikti_code,author_number,dept_number,journal_number,sinta_score_overall,sinta_score_3yr,sinta_score_productivity,sinta_score_productivity_3yr,scopus_docs,scopus_citation,scopus_cited_doc,scopus_citation_per_researchers,gscholar_docs,gscholar_citation,gscholar_cited_doc,gscholar_citation_per_researchers,wos_docs,wos_citation,wos_cited_doc,wos_citation_per_researchers,garuda_docs,garuda_citation,garuda_cited_doc,garuda_citation_per_researchers
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,ITBMP,"KAB. PURBALINGGA - JAWA TENGAH, ID",8244439,062009,15,3,0,142,78,10,6,3,4,3,"0,29",106,229,34,"16,36",0,0,0,0,1,0,0,0
STAI Cendekia Insani Situbondo,-,"KAB. SITUBONDO - JAWA TIMUR, ID",3641,213055,16,3,0,111,78,8,6,0,0,0,0,20,24,5,"1,71",0,0,0,0,3,0,0,0
Akademi Sekretari Manajemen Taruna Bakti,ASMTB,"KOTA BANDUNG - JAWA BARAT, ID",8357,044022,3,1,1,164,78,41,19,1,28,1,"2,33",62,166,18,"13,83",0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Kesehatan Masyarakat Abdi Nusa,STIKESMAS ABDI NUSA,"KOTA PALEMBANG - SUMATERA SELATAN, ID",923,023079,6,2,0,101,80,5,4,0,0,0,0,39,151,21,"3,78",0,0,0,0,0,0,0,0
Ikatan Sarjana Komunikasi Indonesia,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8175,0,0,0,2,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Manajemen Informatika dan Komputer MBC Palembang,STMIK MBC PALEMBANG,"KOTA PALEMBANG - SUMATERA SELATAN, ID",963,023125,10,2,0,84,80,8,7,0,0,0,0,25,1,1,"0,09",0,0,0,0,2,0,0,0
Akademi Pariwisata Pertiwi,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1297,034124,9,3,0,186,80,11,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Ikatan Dokter Indonesia,IDI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8173,0,0,0,2,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Teologi Bethel Medan,-,"KAB. DELI SERDANG - SUMATERA UTARA, ID",4095,233039,1,2,0,70,70,5,5,0,0,0,0,2,7,1,"0,47",0,0,0,0,2,0,0,0
Akademi Pariwisata Majapahit,-,"KAB. MOJOKERTO - JAWA TIMUR, ID",2284,074032,0,2,0,80,80,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STIT Ibnu Sina Malang,-,"KOTA MALANG - JAWA TIMUR, ID",3824,213257,12,2,0,207,70,14,5,0,0,0,0,84,10.536,40,"702,40",0,0,0,0,0,0,0,0
STIH Litigasi,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1258,033210,4,2,0,72,70,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
STMIK Mikar,-,"KOTA BEKASI - JAWA BARAT, ID",1515,043105,0,3,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAI Al-Hikmah, Tanjung Balai, Sumatera Utara",-,"KOTA TANJUNG BALAI - SUMATERA UTARA, ID",3911,213361,0,2,0,70,70,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIK Yapenas Kendari,-,"KOTA KENDARI - SULAWESI TENGGARA, ID",2773,094024,2,4,0,71,70,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Persatuan Dokter Gigi Indonesia,PDGI,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",8244219,0000221,0,0,2,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STIT Al-Quraniyah, Manna, Bengkulu Selatan",-,"KAB. BENGKULU SELATAN - BENGKULU, ID",3876,213316,0,3,0,70,70,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Agama Islam Rawa Aopa Konawe Selatan,STAI RAWA AOPA KONAWE SELATAN,"KAB. KONAWE SELATAN - SULAWESI TENGGARA, ID",8244253,213637,0,3,0,70,70,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Teologi Bethesda,-,"KOTA BEKASI - JAWA BARAT, ID",4074,233009,0,5,0,78,78,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disable -- Sekolah Tinggi Manajemen Logistik Indonesia,STIMLOG,"KOTA BANDUNG - JAWA BARAT, ID",1693,043337,0,2,0,334,78,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Bahasa Harapan Bersama,-,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3234,113090,11,2,0,81,78,5,5,2,2,2,"0,13",10,4,2,"0,27",0,0,0,0,0,0,0,0
"STAI Tebing Tinggi Deli, Sumatera Utara",-,"KOTA TEBING TINGGI - SUMATERA UTARA, ID",3924,213374,0,5,0,78,78,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STKIP An-nur Nangro Aceh,STKIP AN-NUR,"KOTA BANDA ACEH - ACEH, ID",3379,133017,16,2,0,643,78,34,4,0,0,0,0,198,4.210,117,"191,36",0,0,0,0,4,0,0,0
Sekolah Tinggi Ilmu Ekonomi Yapman Majene,-,"KAB. MAJENE - SULAWESI BARAT, ID",2620,093050,14,1,0,353,79,17,4,1,13,1,"0,62",63,156,27,"7,43",0,0,0,0,0,0,0,0
Pusat Kajian Bahasa dan Budaya,-,"KOTA SURAKARTA - JAWA TENGAH, ID",8214,0,0,0,2,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAI Al-Amin Gersik Kediri Lombok Barat,STAI AL AMIN,"KAB. LOMBOK BARAT - NUSA TENGGARA BARAT, ID",3765,213196,11,3,0,94,79,5,4,0,0,0,0,61,109,22,"6,06",0,0,0,0,0,0,0,0
Sekolah Tinggi Agama Kristen Apollos Manado,-,"KOTA MANADO - SULAWESI UTARA, ID",4210,233232,2,5,0,79,79,4,4,0,0,0,0,16,2,2,"0,10",0,0,0,0,0,0,0,0
AKADEMI TEKNOLOGI INDUSTRI IMMANUEL,ATI IMMANUEL,"KOTA MEDAN - SUMATERA UTARA, ID",459,014030,11,2,0,899,69,69,5,22,26,8,"0,96",144,309,57,"11,44",0,0,0,0,1,0,0,0
Sekolah Tinggi Teologi Parakletos Surabaya,-,"KOTA SURABAYA - JAWA TIMUR, ID",4164,233164,0,6,0,78,78,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Kesehatan Siteba,-,"KOTA PADANG - SUMATERA BARAT, ID",3130,105008,4,3,0,111,70,6,4,1,3,1,"0,17",10,76,4,"4,22",0,0,0,0,0,0,0,0
AKPER Mappa Oudang Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2876,094143,2,1,0,161,69,9,4,2,4,1,"0,20",15,31,4,"1,55",0,0,0,0,0,0,0,0
Sekolah Tinggi Teologi Injili Bethsaida Medan,-,"KOTA MEDAN - SUMATERA UTARA, ID",4096,233040,1,4,0,71,70,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Universitas Persatuan Islam,UNIPI,"KOTA BANDUNG - JAWA BARAT, ID",1552,041083,7,7,0,97,70,2,2,0,0,0,0,24,44,9,"1,05",0,0,0,0,1,0,0,0
STAI Ar-Ridho Rokan Hilir Riau,-,"KAB. ROKAN HILIR - KEPULAUAN RIAU, ID",4012,213494,2,2,0,70,70,2,2,0,0,0,0,1,1,1,"0,03",0,0,0,0,0,0,0,0
